GEOID,State Code (FIPS),County Code (FIPS),County,SOCIAL,ECONOM,HOUSING/INFRA,COMM CAPITAL,INSTITUTIONAL,ENVIRONMENT,TOT RESIL2020
17001,17,1,Adams,0.652920778,0.526564852,0.300110323,0.39867932,0.390997226,0.517461685,2.786734184
17003,17,3,Alexander,0.584210044,0.418578116,0.223728069,0.357261825,0.342067234,0.56133726,2.487182547
17005,17,5,Bond,0.640219225,0.471081893,0.24641173,0.386879491,0.411697175,0.538435124,2.694724638
17007,17,7,Boone,0.641736872,0.532287219,0.279255239,0.334146112,0.412091084,0.510893268,2.710409795
17009,17,9,Brown,0.629534989,0.495917047,0.251650893,0.373113486,0.375193775,0.51550288,2.64091307
17011,17,11,Bureau,0.638508299,0.498098105,0.296694211,0.388830479,0.390646698,0.52068677,2.733464562
17013,17,13,Calhoun,0.609871139,0.422637021,0.247032525,0.372837595,0.428164981,0.604681518,2.685224779
17015,17,15,Carroll,0.631898885,0.456134337,0.291778234,0.371011037,0.371739355,0.542578299,2.665140147
17017,17,17,Cass,0.619179852,0.503052217,0.281760409,0.348646762,0.39707404,0.52833655,2.67804983
17019,17,19,Champaign,0.684348389,0.494039734,0.31251777,0.325874924,0.419368078,0.503913193,2.740062088
17021,17,21,Christian,0.63424785,0.483063804,0.282784575,0.416888004,0.401619248,0.513936967,2.732540447
17023,17,23,Clark,0.640283916,0.49349222,0.262762442,0.357958604,0.40348288,0.515338068,2.673318128
17025,17,25,Clay,0.605336044,0.485912707,0.235468976,0.474369748,0.399786197,0.523644804,2.724518476
17027,17,27,Clinton,0.656375391,0.49693689,0.248916467,0.402715551,0.408730775,0.547604772,2.761279845
17029,17,29,Coles,0.642684665,0.49387728,0.276308051,0.384920759,0.386233657,0.510431038,2.694455451
17031,17,31,Cook,0.632819588,0.514152359,0.407521857,0.30512544,0.364085399,0.458719518,2.682424161
17033,17,33,Crawford,0.643594637,0.481451748,0.282066861,0.374188422,0.396271285,0.520867749,2.698440702
17035,17,35,Cumberland,0.636255184,0.480030459,0.247675403,0.439705004,0.411550263,0.514090811,2.729307125
17037,17,37,DeKalb,0.6649741,0.50570093,0.289011414,0.361687611,0.393084583,0.515961257,2.730419894
17039,17,39,De Witt,0.642773847,0.501765408,0.297717298,0.402159175,0.458507955,0.521950049,2.824873732
17041,17,41,Douglas,0.584890309,0.498854384,0.274172424,0.40941043,0.404991684,0.521696801,2.694016032
17043,17,43,DuPage,0.707154306,0.552290311,0.296107364,0.33189841,0.36550855,0.46047938,2.713438322
17045,17,45,Edgar,0.627684436,0.504380414,0.284343392,0.36079213,0.391468204,0.513494769,2.682163345
